bezirk_key;bezirk_name;prognose_key;prognose_name;bezirksregion_key;bezirksregion_name;kiez_key;kiez_name
7;Tempelhof-Schöneberg;705;Mariendorf;70505;Mariendorf;7050506;Birnhornweg
7;Tempelhof-Schöneberg;706;Marienfelde;70606;Marienfelde;7060601;Marienfelder Allee Nordwest
7;Tempelhof-Schöneberg;706;Marienfelde;70606;Marienfelde;7060602;Kirchstraße
7;Tempelhof-Schöneberg;706;Marienfelde;70606;Marienfelde;7060603;Marienfelde Nordost
7;Tempelhof-Schöneberg;706;Marienfelde;70606;Marienfelde;7060604;Marienfelde Süd
7;Tempelhof-Schöneberg;707;Lichtenrade;70707;Lichtenrade;7070701;Kettinger Straße/Schillerstraße
7;Tempelhof-Schöneberg;707;Lichtenrade;70707;Lichtenrade;7070702;Alt-Lichtenrade/Töpchiner Weg
7;Tempelhof-Schöneberg;707;Lichtenrade;70707;Lichtenrade;7070703;John-Locke-Straße
7;Tempelhof-Schöneberg;707;Lichtenrade;70707;Lichtenrade;7070704;Nahariyastraße
7;Tempelhof-Schöneberg;707;Lichtenrade;70707;Lichtenrade;7070705;Franziusweg/Rohrbachstraße
7;Tempelhof-Schöneberg;707;Lichtenrade;70707;Lichtenrade;7070706;Horstwalder Straße/Paplitzer Straße
7;Tempelhof-Schöneberg;707;Lichtenrade;70707;Lichtenrade;7070707;Wittelsbacherstraße
8;Neukölln;801;Neukölln;80101;Schillerpromenade;8010115;Hasenheide
8;Neukölln;801;Neukölln;80101;Schillerpromenade;8010116;Wissmannstraße
8;Neukölln;801;Neukölln;80101;Schillerpromenade;8010117;Schillerpromenade
